,,,,,,,CUT OF RANKS -COMEDK UGET 2016,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Notified on 3rd June 2017,,,,
INSTITUTE,CATEGORY,,,,,,,,,,,,COURSES,,,,,,,,,,,
,,MAR,AERO,AR,AS,AUTO,BIOM,BT,CE,CHE,CSE,CT,CTM,ECE,EEE,EIE,IEM,ISE,IT,ME,MECH,MED,MIN,TE
SAHYADRI COLLEGE OF ENGINEERING AND,,,,,,,,,,,,,,,,,,,,,,,,
MANAGEMENT,GM,,,,,,,,,,49065,,,,,,,,,,,,,
SAI VIDYA INSTITUTE OF TECHNOLOGY,GM,,,,,,,,,,35720,,,32841,,,,42607,,,,,,
SAMBHRAM INSTITUTE OF TECHNOLOGY,GM,,,,,,,,,,42832,,,,,,,,,,,,,
SAPTHAGIRI COLLEGE OF ENGINEERING,GM,,,,,,,,36813,,20880,,,47824,47610,,,33305,,47006,,,,
,,,,,,,CUT OF RANKS -COMEDK UGET 2016,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Notified on 3rd June 2017,,,,
INSTITUTE,CATEGORY,,,,,,,,,,,,COURSES,,,,,,,,,,,
,,MAR,AERO,AR,AS,AUTO,BIOM,BT,CE,CHE,CSE,CT,CTM,ECE,EEE,EIE,IEM,ISE,IT,ME,MECH,MED,MIN,TE
,GM,,,,,,,,54600,37576,24863,,,45144,48336,,,31081,,55585,,,,
,HKR,,,,,,,,38092,,33432,,,41337,,,,26076,,43355,,,,
SDM Dharwad,TLU,,,,,,,,,,36868,,,32380,,,,,,,,,,
SDM Ujire,GM,,,,,,,,,,50666,,,,,,,,,,,,,
SHRI MADHWA VADIRAJA INSTITUTE OF,,,,,,,,,,,,,,,,,,,,,,,,
TECHNOLOGY AND MANAGEMENT,GM,,,,,,,,,,20107,,,,,,,,,,,,,
,GM,,,,,,,47630,29116,35279,15442,,,11256,23185,42782,45169,9300,,28598,,,,42111
SIDDAGANGA INSTITUTE OF TECHNOLOGY,HKR,,,,,,,,30454,,16069,,,31804,,,,36090,,41506,,,,
SIR M.VISVESVARAYA INSTITUTE OF,GM,,,,,,,49649,37958,,3353,,,6139,16486,,47041,4209,,16617,,,,26272
TECHNOLOGY,HKR,,,,,,,,33169,,15926,,,34380,,,,17949,,40249,,,,
,GM,,,,,,,,53292,,13451,,,26891,47837,,,17862,,41339,,,,
SJB INSTITUTE OF TECHNOLOGY,HKR,,,,,,,,,,45955,,,47873,,,,,,,,,,
SRI SAIRAM COLLEGE OF ENGINEERING.,,,,,,,,,,,,,,,,,,,,,,,,
FORMERLY SHIRDI SAI ENGG. COLLEGE,GM,,,,,,,,,,54832,,,,,,,,,,,,,
SRI VENKATESHWARA COLLEGE OF,,,,,,,,,,,,,,,,,,,,,,,,
ENGINEERING,GM,,,,,,,,,,51569,,,29237,,,,46850,,,,,,
SRINIVAS INSTITUTE OF TECHNOLOGY,GM,,,,,,,,,,,,,25439,,,,,,,,,,
,CHR,,,,,,,,52505,,53127,,,37418,53884,,,,,49141,,,,
,GM,,,,,,,,37333,,40641,,,36112,,,,,,53935,,,,
ST JOSEPH ENGINEERING COLLEGE,HKR,,,,,,,,,,,,,,,,,,,48692,,,,
T. JOHN INSTITUTE OF TECHNOLOGY,GM,,,,,,,,,,37226,,,36574,,,,,,23171,,,,
,GM,,,,,,,,,,4573,,,6945,,,,7094,,7522,,,,
